sample_id	genotype_id	rep	date_nod_picked		batch	start	end	Slice	Count	total_area	average_size	percent_area	Circularity	Solidity
857A	857	A	5/10/21	Y	5			857_A_0040_cropped.tif	206	4.544	0.022	8.58	0.705	0.934
857B	857	B	5/11/21	y	6			857_B_0087_cropped.tif	164	3.502	0.021	6.113	0.718	0.912
857C	857	C	5/12/21	y	8			857_C_0111_cropped.tif	376	3.046	0.008	7.94	0.603	0.826
857D	857	D	5/13/21	Y	7			857_D_0125_cropped.tif	190	4.931	0.026	8.705	0.702	0.924
857E	857	E	5/14/21	Y	10			857_E_0146_cropped.tif	222	4.659	0.021	4.931	0.66	0.9
858A	858	A	5/10/21	Y	5			858_A_0047_cropped.tif	247	4.409	0.018	7.286	0.698	0.914
858B	858	B	5/11/21	n					NA	NA	NA	NA	NA	NA
858C	858	C	5/12/21	Y	8			858_C_0094_cropped.tif	307	3.739	0.012	8.814	0.703	0.925
858D	858	D	5/13/21	Y	7			858_D_0120_cropped.tif	566	4.377	0.008	9.122	0.621	0.832
858E	858	E	5/14/21	Y	11			858_E_0163_cropped.tif	354	5.41	0.015	11.114	0.67	0.916
859A	859	A	5/10/21	Y	5			859_A_0044_cropped.tif	97	3.434	0.035	8.521	0.696	0.917
859B	859	B	5/11/21	y	6			859_B_0082_cropped.tif	298	3.458	0.012	6.093	0.699	0.849
859C	859	C	5/12/21	y	8			859_C_0090_cropped.tif	431	1.93	0.004	3.177	0.66	0.825
859D	859	D	5/13/21	Y	7			859_D_0122_cropped.tif	156	5.761	0.037	9.371	0.73	0.928
859E	859	E	5/14/21	Y	10			859_E_0148_cropped.tif	124	3.79	0.031	4.012	0.672	0.903
860A	860	A	5/10/21	y	4			860_A_0038_cropped.tif	335	1.264	0.004	1.513	0.688	0.879
860B	860	B	5/11/21	y	6			860_B_0074_cropped.tif	330	1.663	0.005	2.932	0.664	0.849
860C	860	C	5/12/21	y	8			860_C_0095_cropped.tif	355	1.665	0.005	3.121	0.621	0.844
860D	860	D	5/13/21	Y	7			860_D_0130_cropped.tif	355	1.269	0.004	3.705	0.644	0.851
860E	860	E	5/14/21	Y	11			860_E_0171_cropped.tif	414	2.788	0.007	3.35	0.715	0.938
869A	869	A	5/10/21	y	4			869_A_0035_cropped.tif	156	3.694	0.024	4.422	0.669	0.899
869B	869	B	5/11/21	y	6			869_B_0081_cropped.tif	150	4.307	0.029	9.314	0.696	0.883
