"sample_id"	"genotype_id"	"name"	"type"	"rep"	"background"	"date_biomass_harvested"	"num_plants"	"percent_herbivory"	"flowering"	"above_biomass_g"	"below_biomass_g"	"Count"	"num_plants_picked_nods"	"total_area"	"average_size"	"cfu_ml"	"above_biomass_per_plant"	"below_biomass_per_plant"	"root_to_shoot_ratio"	"total_biomass_per_plant"	"nodule_number_per_plant"	"cfu_per_plant_LOG10"	"cfu_per_nodule_LOG10"	"total_nodulated_area_per_plant"	"average_area_per_nodule"
"842B"	842	"sunn4"	"AON"	"B"	"A17"	"5/11/21"	3	5	"N"	0.379	0.033	807	2	5.205	0.006	3.08e+08	0.126333333333333	0.011	0.0870712401055409	0.137333333333333	403.5	8.18752072083646	5.58167718177837	2.6025	0.00644981412639405
"842C"	842	"sunn4"	"AON"	"C"	"A17"	"5/12/21"	2	15	"N"	0.525	0.082	902	2	5.428	0.006	1.27e+09	0.2625	0.041	0.156190476190476	0.3035	451	8.80277372529198	6.14859718341402	2.714	0.00601773835920177
"842D"	842	"sunn4"	"AON"	"D"	"A17"	"5/13/21"	3	10	"F"	0.888	0.072	754	1	3.618	0.005	1.88e+09	0.296	0.024	0.0810810810810811	0.32	754	9.27415784926368	6.39678650339391	3.618	0.00479840848806366
"842E"	842	"sunn4"	"AON"	"E"	"A17"	"5/14/21"	3	5	"F"	0.937	0.096	889	2	NA	NA	1.74e+09	0.312333333333333	0.032	0.102454642475987	0.344333333333333	444.5	8.93951925261862	6.29164748731239	NA	NA
"843A"	843	"rdn1"	"AON"	"A"	"A17"	"5/10/21"	2	5	"F"	1.002	0.441	908	1	3.398	0.004	NA	0.501	0.2205	0.440119760479042	0.7215	908	NA	NA	3.398	0.00374229074889868
"843B"	843	"rdn1"	"AON"	"B"	"A17"	"5/11/21"	1	3	"N"	0.882	0.325	758	1	NA	NA	2.38e+08	0.882	0.325	0.368480725623583	1.207	758	8.37657695705651	5.49690775142446	NA	NA
"843C"	843	"rdn1"	"AON"	"C"	"A17"	"5/12/21"	1	5	"F"	1.199	0.377	726	1	NA	NA	3.32e+08	1.199	0.377	0.31442869057548	1.576	726	8.52113808370404	5.66020146300394	NA	NA
"844A"	844	"latd"	"Early"	"A"	"A17"	"5/6/21"	1	0	"N"	0.191	0.176	0	0	0	0	NA	0.191	0.176	0.921465968586387	0.367	NA	NA	NA	NA	NA
"844B"	844	"latd"	"Early"	"B"	"A17"	"5/6/21"	3	0	"N"	0.18	0.119	19	9	0.044	0.002	1240000	0.06	0.0396666666666667	0.661111111111111	0.0996666666666667	2.11111111111111	5.13917917572291	4.81466808420941	0.00488888888888889	0.00231578947368421
"844C"	844	"latd"	"Early"	"C"	"A17"	"5/7/21"	1	0	"N"	0.139	0.062	0	0	0	0	NA	0.139	0.062	0.446043165467626	0.201	NA	NA	NA	NA	NA
