"sample_id"	"genotype_id"	"geno"	"type"	"rep"	"background"	"date_biomass_harvested"	"num_plants"	"percent_herbivory"	"flowering"	"above_biomass_g"	"below_biomass_g"	"Count"	"num_plants_picked_nods"	"total_area"	"average_size"	"cfu_ml"	"nodule_isolate_diversity"	"above_biomass_per_plant"	"below_biomass_per_plant"	"root_to_shoot_ratio"	"total_biomass_per_plant"	"nodule_number_per_plant"	"cfu_per_plant_LOG10"	"cfu_per_nodule_LOG10"	"total_nodulated_area_per_plant"	"average_area_per_nodule"
"834E"	"834"	"dnf2"	"Late"	"E"	"A17"	"5/14/21"	2	0	"N"	0.254	0.329	357	1	0.595	0.002	2.28e+08	4.17875198538511	0.127	0.1645	1.29527559055118	0.2915	357	8.35793484700045	5.80526663088826	0.595	0.00166666666666667
"836A"	"836"	"dnf3"	"Late"	"A"	"A17"	"5/10/21"	3	2	"F"	0.833	0.702	281	1	1.037	0.004	1.52e+08	4.15923881452367	0.277666666666667	0.234	0.842737094837935	0.511666666666667	281	8.18184358794477	5.73313726803969	1.037	0.00369039145907473
"836B"	"836"	"dnf3"	"Late"	"B"	"A17"	"5/11/21"	3	4	"F"	0.985	0.594	432	1	1.515	0.004	1.36e+08	4.19469477032899	0.328333333333333	0.198	0.603045685279188	0.526333333333333	432	8.13353890837022	5.49805516155531	1.515	0.00350694444444444
"836C"	"836"	"dnf3"	"Late"	"C"	"A17"	"5/12/21"	2	10	"F"	0.792	0.68	489	1	NA	NA	65200000	4.13666004917094	0.396	0.34	0.858585858585859	0.736	489	7.81424759573192	5.1249387366083	NA	NA
"836D"	"836"	"dnf3"	"Late"	"D"	"A17"	"5/13/21"	1	1	"N"	0.566	0.541	269	1	0.891	0.003	2.02e+08	NA	0.566	0.541	0.95583038869258	1.107	269	8.30535136944662	5.87559908944422	0.891	0.00331226765799257
"836E"	"836"	"dnf3"	"Late"	"E"	"A17"	"5/14/21"	2	3	"F"	0.878	0.883	466	1	1.286	0.003	1.67e+08	4.01621268204528	0.439	0.4415	1.00569476082005	0.8805	466	8.22271647114758	5.55433055445758	1.286	0.00275965665236052
"837A"	"837"	"dnf4"	"Late"	"A"	"A17"	"5/10/21"	1	5	"N"	0.17	0.137	310	1	1.09	0.004	2.42e+08	4.0298564058558	0.17	0.137	0.805882352941176	0.307	310	8.38381536598043	5.89245367214616	1.09	0.00351612903225806
"837B"	"837"	"dnf4"	"Late"	"B"	"A17"	"5/11/21"	1	5	"N"	0.3	0.331	685	1	NA	NA	2.51e+08	4.21824990658624	0.3	0.331	1.10333333333333	0.631	685	8.39967372148104	5.56398314998861	NA	NA
"837C"	"837"	"dnf4"	"Late"	"C"	"A17"	"5/12/21"	3	5	"N"	0.432	0.592	NA	1	NA	NA	NA	NA	0.144	0.197333333333333	1.37037037037037	0.341333333333333	NA	NA	NA	NA	NA
"839A"	"839"	"dnf6"	"Late"	"A"	"A17"	"5/10/21"	3	5	"F"	1.539	0.898	425	1	1.674	0.004	2.61e+08	NA	0.513	0.299333333333333	0.583495776478233	0.812333333333333	425	8.41664050733828	5.78825157728797	1.674	0.00393882352941176
