sample_id.x	genotype_id	rep.x	date_nod_picked.x	X	batch	start	end	Slice	Count	total_area	average_size	percent_area	Circularity	Solidity	sample_id.y	rep.y	cfu_ml	num_alive_apr15	date_on_plant_tag	nodule_harvester	nodule_weight_g	date_biomass_harvested	num_plants	percent_herbivory	flowering	above_biomass_g	below_biomass_g	ratio	num_plants_picked_nods	date_nod_picked.y	nod_distribution	image_above	image_below	envelope_notes	name	background	type	order
834E	834	E	5/14/2021	Y	11	NA	NA	834_E_0152_cropped.tif	357	0.595	0.002	0.715	0.881	0.931	834D	D	1.59E+08	2	5/14/21	JH	NA	5/13/21	2	0	N	0.141	0.179	0.787709497	1	5/14/21	even	9506	9567		dnf2	A17	Late	9
834E	834	E	5/14/2021	Y	11	NA	NA	834_E_0152_cropped.tif	357	0.595	0.002	0.715	0.881	0.931	834E	E	2.28E+08	3	5/14/21	LCL	NA	5/14/21	2	0	N	0.254	0.329	0.772036474	1	5/14/21	even	9510	9558		dnf2	A17	Late	9
836A	836	A	05/10/21	Y	5	1	NA	836_A_0050_cropped.tif	281	1.037	0.004	1.811	0.837	0.95	836A	A	1.52E+08	3	05/10/21	LTB	0.047	05/10/21	3	2	F	0.833	0.702	1.186609687	1	05/10/21	even	9502	9531		dnf3	A17	Late	0
836A	836	A	05/10/21	Y	5	1	NA	836_A_0050_cropped.tif	281	1.037	0.004	1.811	0.837	0.95	836B	B	1.36E+08	2	05/11/21	JH	0.024	05/11/21	3	4	F	0.985	0.594	1.658249158	1	05/11/21	even	8987	9560		dnf3	A17	Late	0
836A	836	A	05/10/21	Y	5	1	NA	836_A_0050_cropped.tif	281	1.037	0.004	1.811	0.837	0.95	836C	C	65200000	2	05/12/21	LCL	0.037	05/12/21	2	10	F	0.792	0.68	1.164705882	1	05/12/21	even	9477	9545		dnf3	A17	Late	0
836A	836	A	05/10/21	Y	5	1	NA	836_A_0050_cropped.tif	281	1.037	0.004	1.811	0.837	0.95	836D	D	2.02E+08	2	5/13/21	JH	NA	5/13/21	NA	1	N	0.566	0.541	1.046210721	1	5/13/21	even	9505	9549		dnf3	A17	Late	0
836A	836	A	05/10/21	Y	5	1	NA	836_A_0050_cropped.tif	281	1.037	0.004	1.811	0.837	0.95	836E	E	1.67E+08	2	5/14/21	RBB	NA	5/14/21	2	3	F	0.878	0.883	0.994337486	1	5/14/21	bottom	9517	9559		dnf3	A17	Late	0
836B	836	B	05/11/21	Y	6	1	NA	836_B_0083_cropped.tif	432	1.515	0.004	2.028	0.851	0.944	836A	A	1.52E+08	3	05/10/21	LTB	0.047	05/10/21	3	2	F	0.833	0.702	1.186609687	1	05/10/21	even	9502	9531		dnf3	A17	Late	0
836B	836	B	05/11/21	Y	6	1	NA	836_B_0083_cropped.tif	432	1.515	0.004	2.028	0.851	0.944	836B	B	1.36E+08	2	05/11/21	JH	0.024	05/11/21	3	4	F	0.985	0.594	1.658249158	1	05/11/21	even	8987	9560		dnf3	A17	Late	0
836B	836	B	05/11/21	Y	6	1	NA	836_B_0083_cropped.tif	432	1.515	0.004	2.028	0.851	0.944	836C	C	65200000	2	05/12/21	LCL	0.037	05/12/21	2	10	F	0.792	0.68	1.164705882	1	05/12/21	even	9477	9545		dnf3	A17	Late	0
