"strains"	"A17"	"latd"	"ipd3"	"nad1"	"dnf2"	"dnf3"	"dnf6"	"dnf7"	"sunn4"	"sunn1"	"rdn1"	"hcl"	"dnf1"	"dnf4"	"dnf5dnf2"	"dnf1dnf2"
"MAG183"	-0.793479514272678	-1.55220296496425	-1.45474096987279	-0.994888587939449	-1.42187039586202	-1.07526741500765	-0.308534883322759	-1.32571063144781	-1.67633674328096	-0.576338502957444	-0.779590685020563	-1.12353386128477	-0.540332862641318	-0.646172293772983	-1.0589424397197	-1.73659755117544
"MAG184"	-0.202584750201687	-1.16738060367464	-1.23028787442584	-0.751315861067629	-1.02936857235374	-0.727123138196598	-0.279306191294799	-1.09387916408406	-0.566780220890279	-0.594430760646398	-0.924959487199229	-1.35244251542666	-0.231814136989215	-0.880256344407724	-0.938030552671371	-0.901421504552479
"MAG191"	0.890257088615778	-0.0114533779512033	0.583976239613783	1.05220678327368	0.453697422690042	-0.0428645499470228	0.0238725228039544	0.456701327980238	0.601487940146188	0.905546038616328	0.599072405963884	1.09519952698934	0.589593684430181	1.1148525645877	1.22493182967645	1.0957705013758
"MAG192D"	-1.31120372858772	-1.00114896234921	-1.21778279817468	-0.4592757963575	-1.00999928394187	-0.874016713602496	-0.898545491660214	-1.3866549152157	-0.811102198736234	-0.921373445989927	-0.646793542836038	-1.31016150651447	-1.11766054693931	-1.36839864390007	-1.39978519734978	-0.986381450458244
"MAG199"	0.220662125886525	-1.3940430522254	-0.541612955837251	-0.269382630419344	-0.132192319375689	-0.51338355320319	-0.0653820810525724	-0.681078531799796	0.143729411924791	0.0311146250485426	-0.573075928709281	-0.47549659363619	-0.314746119075825	-0.168453222867539	-0.00469579946566028	-0.598619711151356
"MAG200"	-1.68201506184878	-2.65631274774011	-2.22841737906116	-1.91565606500509	-1.9181096093722	-1.20622777788626	-1.78964456448173	-2.10054820249069	-1.60201426548618	-1.46988988430396	-2.06410305338434	-2.06127646394508	-1.48331080236912	-2.32551051001036	-1.61506265015878	-2.08010686791862
"MAG201"	0.552210124071207	-1.04952928595607	-0.260562684191532	-0.935406821587246	-0.421215778167448	0.382474334862335	-0.396696302762954	-0.0862523337370874	0.566616446930105	0.385203822126678	0.424334029384912	-0.234600327505353	-0.333634058044465	0.061118674914033	-0.285596752931607	-0.454249673973169
"MAG204"	-0.385481042289956	-1.52655680477889	-1.38192347142683	-1.07648101249126	-1.1777662287859	-1.13907323902678	-0.519825661827723	-1.49652724203637	-0.653228905575274	-0.750904821435072	-0.512921008967453	-1.32371000247726	-1.09859782823677	-0.666169816663102	-1.28666136384083	-1.36106333785915
"MAG215"	-0.15364333430096	-1.35725888753537	-1.03293884215716	0.5424525905355	-0.6496545828674	-0.0293489904263951	0.370990466973904	-0.690892926030229	1.45074930405183	0.462491035993167	0.41728846593297	-1.54564603398808	0.403733373934195	-0.0591358369215424	0.0766851326534878	0.129066107318665
"MAG220"	-0.66068575675189	-0.9603015211149	-0.97029037126448	0.496544790881921	-0.82224523579623	0.137561885037547	-1.25291673600973	0.39564366246305	0.608075806135474	-0.398525821259018	0.0301360175724158	-0.0399456708021603	0.131451989724514	-0.875998305938454	0.307654337429667	0.515106307262606
"MAG221"	-2.11719785930617	1.35037498673914	-1.17137941949354	-1.57661368519487	-1.2536456330935	-1.54199059001706	-0.769954925243377	-1.37246092718807	-2.29607707228094	-1.52216709808084	-1.68452768243922	-2.14036439369221	-1.06203877236575	-1.42750657666916	-2.11612990891919	-1.43498854014451
"MAG225"	-1.72157742929478	-2.15590067442234	-2.14099980893158	-1.9275424745598	-1.93033048166854	-1.8833694334435	-1.69621571297071	-2.17632115936121	-1.82850027880432	-1.60798638105576	-1.71337603606857	-2.00873297826436	-1.72996396968822	-1.8532602087516	-1.97332217900222	-1.93513909415152
"MAG230"	-1.13101939438438	-1.62735287815006	-1.58725290129895	-1.44492506683292	-1.028196858618	-0.950670683906562	-1.35431930754923	-1.07643602499577	-0.89370226220557	-1.27429420735126	-1.3933688571162	-1.51365298447292	-1.3071597625231	-1.41596901721323	-1.36433248654802	-1.00511684788752
