diff	lwr	upr	p adj	comparison	trait	p_adj	Significant
-0.388960181238952	-0.920834992019499	0.142914629541594	0.390066941054216	A17-hcl	average_area_per_nodule	0.390066941054216	
0.633281317139506	0.411615295860543	0.854947338418469	0	A17-sunn4	root_to_shoot_ratio	0	***
0.101919856869957	-0.119746164409006	0.32358587814892	0.970358064924788	A17-sunn1	root_to_shoot_ratio	0.970358064924788	
0.0633304475948791	-0.192627426516326	0.319288321706084	0.999987139514469	A17-rdn1	root_to_shoot_ratio	0.999987139514469	
-0.459185763320725	-0.680851784599688	-0.237519742041762	2.2877592265047e-08	A17-dnf5/dnf2	root_to_shoot_ratio	2.2877592265047e-08	***
-0.38237171521152	-0.604037736490483	-0.160705693932558	4.06337322322869e-06	A17-dnf1/dnf2	root_to_shoot_ratio	4.06337322322869e-06	***
-0.359105116691567	-0.580771137970529	-0.137439095412604	1.86730465332463e-05	A17-dnf7	root_to_shoot_ratio	1.86730465332463e-05	***
-0.145232200645669	-0.366898221924632	0.0764338206332939	0.63721025900596	A17-dnf6	root_to_shoot_ratio	0.63721025900596	
-0.396104964641433	-0.652062838752638	-0.140147090530228	5.2508963464204e-05	A17-dnf4	root_to_shoot_ratio	5.2508963464204e-05	***
-0.292034241001489	-0.513700262280452	-0.0703682197225266	0.00120615721609008	A17-dnf3	root_to_shoot_ratio	0.00120615721609008	**
-0.428704382291686	-0.650370403570648	-0.207038361012723	1.81956483658041e-07	A17-dnf2	root_to_shoot_ratio	1.81956483658041e-07	***
-0.0740372597088595	-0.295703280987822	0.147628761570103	0.999166345998026	A17-dnf1	root_to_shoot_ratio	0.999166345998026	
-0.411440123151379	-0.646552443358873	-0.176327802943885	2.81503442534081e-06	A17-nad1	root_to_shoot_ratio	2.81503442534081e-06	***
-0.180537558180912	-0.392766615821884	0.0316914994600604	0.194248219846249	A17-latd	root_to_shoot_ratio	0.194248219846249	
-0.416393273685614	-0.651505593893109	-0.18128095347812	2.06352183729219e-06	A17-ipd3	root_to_shoot_ratio	2.06352183729219e-06	***
-0.0386745761433216	-0.273786896350816	0.196437744064173	0.999999979790508	A17-hcl	root_to_shoot_ratio	0.999999979790508	
-0.651510171245139	-0.863739228886112	-0.439281113604167	0	A17-dmi3-1	root_to_shoot_ratio	0	***
-0.73210943203232	-1.11604624319913	-0.348172620865513	2.73460986965901e-07	A17-dmi2-3	root_to_shoot_ratio	2.73460986965901e-07	***
-0.677357229918966	-0.899023251197928	-0.455691208640003	0	A17-dmi1-2	root_to_shoot_ratio	0	***
0.643093251938212	0.291191108454283	0.994995395422141	8.94227448755558e-07	A17-sunn4	total_biomass_per_plant	8.94227448755558e-07	***
-0.053493884268406	-0.405396027752335	0.298408259215523	0.999999994567577	A17-sunn1	total_biomass_per_plant	0.999999994567577	
0.00856443571938642	-0.397777158818319	0.414906030257092	1	A17-rdn1	total_biomass_per_plant	1	
0.76825881623744	0.416356672753511	1.12016095972137	4.20340295903543e-09	A17-dnf5/dnf2	total_biomass_per_plant	4.20340295903543e-09	***
0.778164931068005	0.426262787584076	1.13006707455193	2.73663092187348e-09	A17-dnf1/dnf2	total_biomass_per_plant	2.73663092187348e-09	***
0.789349070279112	0.437446926795183	1.14125121376304	1.68286751200952e-09	A17-dnf7	total_biomass_per_plant	1.68286751200952e-09	***
0.155912732255894	-0.195989411228035	0.507814875739823	0.979248388820163	A17-dnf6	total_biomass_per_plant	0.979248388820163	
0.447614850421221	0.0412732558835152	0.853956444958926	0.0168258833925888	A17-dnf4	total_biomass_per_plant	0.0168258833925888	*
0.197196931962045	-0.154705211521884	0.549099075445974	0.852115764766684	A17-dnf3	total_biomass_per_plant	0.852115764766684	
0.764773487886796	0.412871344402867	1.11667563137072	4.88732432302186e-09	A17-dnf2	total_biomass_per_plant	4.88732432302186e-09	***
-0.0361697497418749	-0.388071893225804	0.315732393742054	0.999999999993478	A17-dnf1	total_biomass_per_plant	0.999999999993478	
0.922637241224517	0.549388653267166	1.29588582918187	3.31734639757997e-11	A17-nad1	total_biomass_per_plant	3.31734639757997e-11	***
0.841635460998573	0.504714809549499	1.17855611244765	1.57596158345541e-11	A17-latd	total_biomass_per_plant	1.57596158345541e-11	***
0.810216480731818	0.436967892774467	1.18346506868917	5.07993402898421e-09	A17-ipd3	total_biomass_per_plant	5.07993402898421e-09	***
0.113632538818032	-0.259616049139319	0.486881126775384	0.999753511173871	A17-hcl	total_biomass_per_plant	0.999753511173871	
0.737800053939195	0.400879402490121	1.07472070538827	3.79719033993808e-09	A17-dmi3-1	total_biomass_per_plant	3.79719033993808e-09	***
0.488549122230497	-0.120963269576061	1.09806151403705	0.280828982905456	A17-dmi2-3	total_biomass_per_plant	0.280828982905456	
0.523594800355896	0.171692656871967	0.875496943839825	0.000121169543278121	A17-dmi1-2	total_biomass_per_plant	0.000121169543278121	***
-0.020851859754397	-0.073395626410778	0.0316919069019841	0.984532845832832	A17-sunn4	cfu_per_nodule_LOG10	0.984532845832832	
