"strains"	"latd"	"ipd3"	"nad1"	"dnf2"	"dnf3"	"dnf6"	"dnf7"	"sunn4"	"sunn1"	"rdn1"	"hcl"	"dnf1"	"dnf4"	"dnf5dnf2"	"dnf1dnf2"
"MAG245"	-1.10296531948838	-1.30871425335131	-0.369860159774889	-0.405961210323795	-0.442143329516085	-0.823356897584631	-0.948827122990027	-0.48484173013053	-0.31222391465113	-0.465615861225691	-1.01916346965127	-1.02569414437057	-1.01437807508134	-0.0569332261307981	-0.355084647913679
"MAG248"	-1.5281952313734	-0.969184915220417	-0.415147758619731	-0.465521810565496	0.0199548936542316	0.609846858532989	-1.23083416031217	-1.01700109428186	-0.642901016069813	-0.105599582787452	-0.688826345427858	0.0301680597443502	-0.385662069244034	-1.70912006591978	-0.675664920308148
"MAG258"	-1.2313486821509	0.19601800851568	0.00109437003060586	-0.113381148690465	0.424599830314698	0.0485322270309244	-0.242523135425409	-0.15374870215285	-0.112745006692362	0.161731096644651	0.369963314870551	-0.0616770859245943	0.0194242057462533	0.0319049826994244	-0.0899207901368293
"MAG259"	0.0647623433383444	-0.410370869650083	0.122642231635709	-0.100617826472464	0.0268102078388073	0.175544235415611	-0.254047038445237	-0.278252631218617	0.0533203987049303	0.136821611684844	-0.696437853882083	0.397838432206605	0.317855831608983	-0.376711646050369	0.564344832996525
"MAG278"	0.919690535883384	1.21946546060608	2.09971773774158	0.943145375441779	1.44203122497945	1.94165262742877	0.924454159250974	0.957262702509451	0.278905386315327	0.875900193226287	0.321441778734306	0.569943818087931	0.993950707004783	0.80967864716188	0.736752694242576
"MAG282"	-0.275410301422377	-0.602810820812643	-0.0924835342217034	-0.0561520550235763	-0.023018642888041	-0.000416019701385384	-0.418814400967971	0.143152808394396	0.076419853891482	0.132091332994412	-0.352453144299589	0.0345855893040969	-0.154491211468271	-0.574185661340838	0.0452813435374304
"MAG286"	0.919053728906844	-0.310369654483402	-0.553474924281711	-0.626095621154488	-0.943691972408305	0.948966480796069	-1.01314828064631	-0.35974903183257	0.278525469844245	0.288803203186565	-0.837684568278504	0.656252834592672	0.0262576942686672	-0.495328666806406	-0.914993298768
"MAG313"	0.921260758979855	-0.192761445683368	-0.226347388867938	0.351033662826066	0.347810790112591	0.510571630194885	-0.319510025206375	-0.275654824350447	0.384031171850049	0.0457639851573842	-0.0821785993165289	0.288490079289135	0.490358093311621	0.165177892697482	0.163705781850167
"MAG320"	-1.01734433009869	0.163528645591171	-0.258393779248523	-0.187643156566392	0.165818747669007	-0.185684208755748	-0.277428053222213	0.00343514404508805	-0.285073261661402	0.241896768249581	-0.286253435747252	-0.0492701769242524	-0.405799934633428	-0.321499185006784	-0.255739085777652
"MAG322"	1.9785466175416	2.07298956388485	0.832476867505851	1.33169923501994	0.500965692191874	0.246533382865385	2.16428509002353	0.0739728286476726	0.425892863685279	0.130116954352756	-0.534072236124449	-0.096182168079449	0.428537442805332	1.27312805756071	1.09691871887991
