comparison	diff	lwr	upr	p adj	trait	p_adj	Significant
A17-sunn4	-0.289285477	-0.989362567	0.410791614	0.977781297	cfu_per_nodule_LOG10	0.977781297	
A17-sunn1	-0.241553289	-0.984097176	0.500990598	0.997868212	cfu_per_nodule_LOG10	0.997868212	
A17-rdn1	0.226132092	-0.699982848	1.152247032	0.999924122	cfu_per_nodule_LOG10	0.999924122	
A17-dnf5/dnf2	-0.110253983	-0.810331073	0.589823108	0.999999769	cfu_per_nodule_LOG10	0.999999769	
A17-dnf1/dnf2	0.005115238	-0.737428649	0.747659125	1	cfu_per_nodule_LOG10	1	
A17-dnf7	-0.075077759	-0.77515485	0.624999331	0.999999999	cfu_per_nodule_LOG10	0.999999999	
A17-dnf6	-0.151238754	-0.851315845	0.548838336	0.999983921	cfu_per_nodule_LOG10	0.999983921	
A17-dnf4	0.076468288	-0.849646652	1.002583228	1	cfu_per_nodule_LOG10	1	
A17-dnf3	0.247474537	-0.452602554	0.947551628	0.994928051	cfu_per_nodule_LOG10	0.994928051	
A17-dnf2	0.215291103	-0.484785987	0.915368194	0.998846583	cfu_per_nodule_LOG10	0.998846583	
A17-dnf1	0.106692178	-0.63585171	0.849236065	0.999999936	cfu_per_nodule_LOG10	0.999999936	
A17-nad1	0.863066021	0.054686627	1.671445414	0.026032734	cfu_per_nodule_LOG10	0.026032734	*
A17-latd	0.990018615	-0.222550475	2.202587705	0.228593903	cfu_per_nodule_LOG10	0.228593903	
A17-ipd3	0.751011937	0.00846805	1.493555824	0.044923785	cfu_per_nodule_LOG10	0.044923785	*
A17-hcl	-0.192553356	-0.935097243	0.549990531	0.99984134	cfu_per_nodule_LOG10	0.99984134	
A17-sunn4	-0.646219453	-1.306654583	0.014215677	0.061051849	cfu_per_plant_LOG10	0.061051849	
A17-sunn1	-0.443895238	-1.144392477	0.256602001	0.634411773	cfu_per_plant_LOG10	0.634411773	
A17-rdn1	-0.343022163	-1.216695719	0.530651392	0.986423721	cfu_per_plant_LOG10	0.986423721	
A17-dnf5/dnf2	-0.256743686	-0.917178816	0.403691444	0.987622515	cfu_per_plant_LOG10	0.987622515	
A17-dnf1/dnf2	-0.194225136	-0.894722375	0.506272102	0.999663419	cfu_per_plant_LOG10	0.999663419	
A17-dnf7	-0.047435097	-0.707870227	0.613000033	1	cfu_per_plant_LOG10	1	
A17-dnf6	-0.534386544	-1.194821674	0.126048586	0.242199993	cfu_per_plant_LOG10	0.242199993	
A17-dnf4	-0.285909187	-1.159582742	0.587764369	0.997817306	cfu_per_plant_LOG10	0.997817306	
A17-dnf3	-0.02570423	-0.68613936	0.634730901	1	cfu_per_plant_LOG10	1	
A17-dnf2	0.003125866	-0.657309265	0.663560996	1	cfu_per_plant_LOG10	1	
A17-dnf1	0.024801378	-0.635633753	0.685236508	1	cfu_per_plant_LOG10	1	
A17-nad1	0.759294461	0.058797223	1.4597917	0.021991464	cfu_per_plant_LOG10	0.021991464	*
A17-latd	2.966656181	1.822748981	4.110563382	1.99E-10	cfu_per_plant_LOG10	1.99E-10	***
A17-ipd3	1.067380736	0.366883498	1.767877975	0.000143082	cfu_per_plant_LOG10	0.000143082	***
A17-hcl	0.179592461	-0.520904777	0.8800897	0.999868475	cfu_per_plant_LOG10	0.999868475	
A17-sunn4	0.039737496	-0.360434687	0.439909678	1	nodule_isolate_diversity	1	
A17-sunn1	-0.028083844	-0.428256027	0.372088338	1	nodule_isolate_diversity	1	
A17-rdn1	-0.019952026	-0.452187384	0.412283333	1	nodule_isolate_diversity	1	
A17-dnf5/dnf2	0.250264881	-0.149907301	0.650437064	0.641659141	nodule_isolate_diversity	0.641659141	
A17-dnf1/dnf2	0.202842291	-0.197329892	0.603014473	0.885228465	nodule_isolate_diversity	0.885228465	
A17-dnf7	0.468694806	0.068522623	0.868866988	0.009257621	nodule_isolate_diversity	0.009257621	**
A17-dnf6	-0.016833322	-0.417005504	0.383338861	1	nodule_isolate_diversity	1	
A17-dnf4	0.049241953	-0.440866875	0.539350781	1	nodule_isolate_diversity	1	
A17-dnf3	0.04659353	-0.353578652	0.446765713	0.999999996	nodule_isolate_diversity	0.999999996	
A17-dnf2	0.14769241	-0.252479772	0.547864593	0.991394742	nodule_isolate_diversity	0.991394742	
A17-dnf1	-0.028810773	-0.428982956	0.37136141	1	nodule_isolate_diversity	1	
A17-nad1	0.110399439	-0.289772743	0.510571622	0.999619636	nodule_isolate_diversity	0.999619636	
A17-latd	0.43933405	-0.193393727	1.072061826	0.472242449	nodule_isolate_diversity	0.472242449	
A17-ipd3	0.391015282	-0.0091569	0.791187465	0.061522491	nodule_isolate_diversity	0.061522491	
A17-hcl	0.198183025	-0.201989158	0.598355207	0.901759393	nodule_isolate_diversity	0.901759393	
